ID,predicted_label,correct_prediction,aleatoric_uncertainty
1,7,False,1.0298855
2,6,False,0.9369786
3,2,False,0.9676087
4,4,False,0.9636554
5,4,False,0.96365535
6,5,False,0.97440135
7,5,False,0.9744013
8,7,True,1.0298855
9,3,False,1.0118203
10,5,False,0.9744013
11,3,True,1.0118203
12,2,False,0.9676087
13,4,False,0.96365535
14,2,False,0.9676087
15,0,False,0.9873884
16,2,False,0.96760875
17,5,False,0.97440135
18,7,False,1.0298859
19,4,False,0.9636555
20,1,False,0.939206
21,3,False,1.0118204
22,4,True,0.96365535
23,4,False,0.96365535
24,4,False,0.96365535
25,7,False,1.0298854
26,2,False,0.9676087
27,5,False,0.97440124
28,4,True,0.9636553
29,3,False,1.0118204
30,0,True,0.98738855
31,7,False,1.0298855
32,8,True,1.0635216
33,0,False,0.9873884
34,5,False,0.97440124
35,0,False,0.98738843
36,4,False,0.9636555
37,0,True,0.98738843
38,3,False,1.0118204
39,4,False,0.9636554
40,0,False,0.9873883
41,4,False,0.9636554
42,7,False,1.0298856
43,1,False,0.93920565
44,2,False,0.9676089
45,0,False,0.98738843
46,4,False,0.9636553
47,0,False,0.9873884
48,4,False,0.96365535
49,0,False,0.9873885
50,2,False,0.9676087
51,3,False,1.0118203
52,4,False,0.96365535
53,7,False,1.0298856
54,8,True,1.0635217
55,7,False,1.0298855
56,0,False,0.98738843
57,0,False,0.9873885
58,8,True,1.0635216
59,4,False,0.96365535
60,6,False,0.9369786
61,8,False,1.0635216
62,0,False,0.98738843
63,8,True,1.0635215
64,4,False,0.96365535
65,0,False,0.98738843
66,0,False,0.98738843
67,4,False,0.9636555
68,4,True,0.96365535
69,0,False,0.98738843
70,0,False,0.9873884
71,0,False,0.9873884
72,8,True,1.0635215
73,2,False,0.96760875
74,5,False,0.97440124
75,1,False,0.939206
76,6,False,0.9369786
77,3,False,1.0118204
78,4,True,0.9636554
79,6,False,0.9369786
80,5,True,0.9744013
81,5,False,0.9744013
82,0,False,0.9873885
83,0,False,0.9873883
84,4,False,0.96365535
85,4,True,0.96365535
86,1,True,0.93920606
87,8,False,1.0635216
88,3,False,1.0118203
89,0,True,0.98738843
90,4,False,0.9636554
91,5,True,0.9744015
92,0,False,0.9873884
93,4,False,0.9636551
94,8,False,1.0635216
95,5,False,0.9744013
96,3,False,1.0118203
97,2,False,0.9676088
98,4,True,0.9636553
99,5,False,0.9744013
100,3,False,1.0118206
101,2,False,0.96760875
102,8,False,1.0635217
103,5,False,0.9744013
104,4,False,0.9636553
105,5,False,0.97440124
106,5,False,0.97440124
107,0,True,0.9873885
108,0,False,0.98738843
109,4,False,0.96365523
110,6,False,0.9369786
111,2,False,0.96760875
112,3,False,1.0118204
113,5,True,0.9744013
114,0,False,0.9873885
115,0,False,0.98738843
116,2,False,0.96760875
117,4,False,0.96365535
118,4,False,0.96365535
119,4,True,0.96365535
120,5,False,0.97440124
121,5,False,0.97440124
122,2,False,0.9676088
123,3,False,1.0118203
124,5,True,0.97440124
125,4,False,0.9636554
126,0,False,0.9873884
127,2,False,0.9676088
128,1,False,0.939206
129,2,False,0.96760875
130,4,False,0.96365535
131,2,False,0.9676086
132,5,False,0.97440124
133,4,False,0.9636554
134,7,False,1.0298855
135,4,True,0.9636554
136,5,True,0.97440124
137,4,False,0.96365535
138,3,False,1.0118203
139,1,False,0.939206
140,0,False,0.9873884
141,4,False,0.9636553
142,5,False,0.97440124
143,2,False,0.9676087
144,0,False,0.9873883
145,2,False,0.9676087
146,5,False,0.97440124
147,4,False,0.9636553
148,5,False,0.97440124
149,2,False,0.96760875
150,5,False,0.97440124
151,4,True,0.9636553
152,2,False,0.9676087
153,3,False,1.0118203
154,2,False,0.9676087
155,5,False,0.97440124
156,5,False,0.97440124
157,5,False,0.9744013
158,1,False,0.939206
159,2,False,0.9676088
160,0,False,0.9873885
161,4,True,0.9636554
162,3,False,1.0118204
163,4,False,0.96365535
164,7,False,1.0298855
165,4,False,0.9636554
166,5,False,0.9744013
167,3,False,1.0118204
168,2,False,0.9676087
169,5,False,0.9744013
170,4,False,0.96365535
171,2,False,0.96760875
172,4,False,0.96365535
173,0,True,0.9873884
174,0,False,0.9873884
175,2,False,0.96760863
176,4,False,0.9636554
177,4,False,0.9636553
178,4,True,0.9636555
179,0,True,0.9873883
180,0,False,0.98738843
181,1,False,0.939206
182,4,False,0.9636555
183,4,True,0.9636554
184,3,False,1.0118203
185,2,False,0.9676088
186,5,False,0.97440124
187,4,False,0.9636553
188,5,False,0.97440135
189,0,True,0.9873884
190,3,False,1.0118204
191,0,False,0.98738855
192,4,False,0.9636554
193,1,False,0.93920606
194,2,False,0.9676087
195,5,False,0.9744013
196,5,False,0.97440135
197,2,False,0.96760875
198,0,False,0.98738843
199,4,True,0.9636554
200,3,False,1.0118204
201,7,True,1.0298856
202,8,False,1.0635216
203,1,True,0.9392061
204,0,False,0.98738855
205,4,False,0.96365464
206,2,False,0.9676087
207,3,False,1.0118203
208,0,True,0.98738843
209,6,False,0.9369786
210,5,False,0.9744013
211,7,False,1.0298856
212,5,False,0.9744012
213,3,False,1.0118204
214,0,False,0.9873883
215,7,False,1.0298855
216,8,False,1.0635216
217,0,False,0.9873885
218,2,False,0.9676087
219,6,False,0.9369787
220,2,False,0.9676087
221,2,False,0.9676087
222,7,False,1.0298858
223,5,False,0.97440135
224,3,False,1.0118204
225,0,False,0.98738843
226,2,False,0.9676087
227,2,False,0.96760875
228,2,False,0.9676086
229,4,False,0.9636553
230,4,True,0.9636554
231,4,False,0.9636553
232,1,False,0.93920606
233,2,False,0.96760875
234,4,False,0.9636554
235,7,False,1.0298856
236,2,True,0.9676087
237,7,False,1.0298855
238,0,False,0.9873884
239,5,False,0.97440135
240,7,False,1.0298856
241,0,False,0.9873885
242,7,False,1.0298855
243,0,False,0.98738855
244,7,False,1.0298856
245,2,False,0.9676087
246,5,False,0.97440124
247,4,False,0.96365535
248,5,False,0.9744013
249,0,False,0.9873884
250,2,False,0.96760875
251,0,False,0.98738843
252,0,False,0.98738843
253,5,False,0.97440124
254,1,False,0.939206
255,5,False,0.97440124
256,2,False,0.9676087
257,3,False,1.0118203
258,0,False,0.98738843
259,1,False,0.93920594
260,5,False,0.97440135
261,0,False,0.9873884
262,2,True,0.9676088
263,4,False,0.96365535
264,4,False,0.9636553
265,0,False,0.98738843
266,0,False,0.98738843
267,0,False,0.98738843
268,2,False,0.9676087
269,1,False,0.93920594
270,4,False,0.9636553
271,2,False,0.9676089
272,0,False,0.98738843
273,0,False,0.9873884
274,8,False,1.0635216
275,8,False,1.0635217
276,2,False,0.9676087
277,3,False,1.0118203
278,0,False,0.9873885
279,5,False,0.97440124
280,3,False,1.0118204
281,7,False,1.0298855
282,5,False,0.9744012
283,5,False,0.9744013
284,0,False,0.9873885
285,2,False,0.9676088
286,8,False,1.0635216
287,0,True,0.9873885
288,4,False,0.96365535
289,7,False,1.0298856
290,0,False,0.98738843
291,5,False,0.9744013
292,6,False,0.9369788
293,0,False,0.98738843
294,4,True,0.96365535
295,3,False,1.0118204
296,1,False,0.9392062
297,2,False,0.96760875
298,5,False,0.9744013
299,5,True,0.97440124
300,4,True,0.96365535
